city_st,Consolidated
Abilene_TX,N
Akron_OH,N
Albuquerque_NM,N
Alexandria_VA,N
Allentown_PA,N
Amarillo_TX,N
Anaheim_CA,N
Ann Arbor_MI,N
Antioch_CA,N
Arlington_TX,N
Arvada_CO,N
Athens_GA,Y
Atlanta_GA,N
Augusta_GA,Y
Aurora_CO,N
Aurora_IL,N
Austin_TX,N
Bakersfield_CA,N
Baltimore_MD,N
Baton Rouge_LA,Y
Beaumont_TX,N
Bellevue_WA,N
Berkeley_CA,N
Billings_MT,N
Birmingham_AL,N
Boise City_ID,N
Boston_MA,N
Boulder_CO,N
Bridgeport_CT,N
Broken Arrow_OK,N
Brownsville_TX,N
Buffalo_NY,N
Burbank_CA,N
Cambridge_MA,N
Cape Coral_FL,N
Carlsbad_CA,N
Carrollton_TX,N
Cary_NC,N
Cedar Rapids_IA,N
Centennial_CO,N
Chandler_AZ,N
Charleston_SC,N
Charlotte_NC,N
Chattanooga_TN,N
Chesapeake_VA,N
Chicago_IL,N
Chula Vista_CA,N
Cincinnati_OH,N
Clarksville_TN,N
Clearwater_FL,N
Cleveland_OH,N
Clovis_CA,N
College Station_TX,N
Colorado Springs_CO,N
Columbia_MO,N
Columbia_SC,N
Columbus_GA,Y
Columbus_OH,N
Concord_CA,N
Coral Springs_FL,N
Corona_CA,N
Corpus Christi_TX,N
Costa Mesa_CA,N
Dallas_TX,N
Daly City_CA,N
Davenport_IA,N
Davie_FL,N
Dayton_OH,N
Denton_TX,N
Denver_CO,Y
Des Moines_IA,N
Detroit_MI,N
Downey_CA,N
Durham_NC,N
El Cajon_CA,N
El Monte_CA,N
El Paso_TX,N
Elgin_IL,N
Elizabeth_NJ,N
Elk Grove_CA,N
Escondido_CA,N
Eugene_OR,N
Evansville_IN,N
Everett_WA,N
Fairfield_CA,N
Fargo_ND,N
Fayetteville_NC,N
Fontana_CA,N
Fort Collins_CO,N
Fort Lauderdale_FL,N
Fort Wayne_IN,N
Fort Worth_TX,N
Fremont_CA,N
Fresno_CA,N
Frisco_TX,N
Fullerton_CA,N
Gainesville_FL,N
Garden Grove_CA,N
Garland_TX,N
Gilbert_AZ,N
Glendale_AZ,N
Glendale_CA,N
Grand Prairie_TX,N
Grand Rapids_MI,N
Greeley_CO,N
Green Bay_WI,N
Greensboro_NC,N
Gresham_OR,N
Hampton_VA,N
Hartford_CT,N
Hayward_CA,N
Henderson_NV,N
Hialeah_FL,N
High Point_NC,N
Hillsboro_OR,N
Hollywood_FL,N
Houston_TX,N
Huntington Beach_CA,N
Huntsville_AL,N
Independence_MO,N
Indianapolis_IN,Y
Inglewood_CA,N
Irvine_CA,N
Irving_TX,N
Jackson_MS,N
Jacksonville_FL,Y
Jersey City_NJ,N
Joliet_IL,N
Jurupa Valley_CA,N
Kansas City_KS,Y
Kansas City_MO,N
Kent_WA,N
Killeen_TX,N
Knoxville_TN,N
Lafayette_LA,Y
Lakeland_FL,N
Lakewood_CO,N
Lancaster_CA,N
Lansing_MI,N
Laredo_TX,N
Las Cruces_NM,N
Las Vegas_NV,N
League City_TX,N
Lewisville_TX,N
Lexington_KY,Y
Lincoln_NE,N
Little Rock_AR,N
Long Beach_CA,N
Los Angeles_CA,N
"Lousiville, KY",Y
Lowell_MA,N
Lubbock_TX,N
Macon_GA,Y
Madison_WI,N
Manchester_NH,N
McAllen_TX,N
McKinney_TX,N
Memphis_TN,N
Mesa_AZ,N
Mesquite_TX,N
Miami Gardens_FL,N
Miami_FL,Y
Midland_TX,N
Milwaukee_WI,N
Minneapolis_MN,N
Miramar_FL,N
Mobile_AL,N
Modesto_CA,N
Montgomery_AL,N
Moreno Valley_CA,N
Murfreesboro_TN,N
Murrieta_CA,N
Naperville_IL,N
Nashville_TN,Y
New Haven_CT,N
New Orleans_LA,Y
New York_NY,N
Newark_NJ,N
Newport News_VA,N
Norfolk_VA,N
Norman_OK,N
North Charleston_SC,N
North Las Vegas_NV,N
Norwalk_CA,N
Oakland_CA,N
Oceanside_CA,N
Odessa_TX,N
Oklahoma City_OK,N
Olathe_KS,N
Omaha_NE,N
Ontario_CA,N
Orange_CA,N
Orlando_FL,N
Overland Park_KS,N
Oxnard_CA,N
Palm Bay_FL,N
Palmdale_CA,N
Pasadena_CA,N
Pasadena_TX,N
Paterson_NJ,N
Pearland_TX,N
Pembroke Pines_FL,N
Peoria_AZ,N
Peoria_IL,N
Philadelphia_PA,Y
Phoenix_AZ,N
Pittsburgh_PA,N
Plano_TX,N
Pomona_CA,N
Pompano Beach_FL,N
Port St. Lucie_FL,N
Portland_OR,N
Providence_RI,N
Provo_UT,N
Pueblo_CO,N
Raleigh_NC,N
Rancho Cucamonga_CA,N
Reno_NV,N
Renton_WA,N
Rialto_CA,N
Richardson_TX,N
Richmond_CA,N
Richmond_VA,N
Riverside_CA,N
Rochester_MN,N
Rochester_NY,N
Rockford_IL,N
Roseville_CA,N
Round Rock_TX,N
Sacramento_CA,N
Salem_OR,N
Salinas_CA,N
Salt Lake City_UT,N
San Angelo_TX,N
San Antonio_TX,N
San Bernardino_CA,N
San Diego_CA,N
San Francisco_CA,Y
San Jose_CA,N
San Mateo_CA,N
Sandy Springs_GA,N
Santa Ana_CA,N
Santa Clara_CA,N
Santa Clarita_CA,N
Santa Maria_CA,N
Santa Rosa_CA,N
Savannah_GA,N
Scottsdale_AZ,N
Seattle_WA,N
Shreveport_LA,N
Simi Valley_CA,N
Sioux Falls_SD,N
South Bend_IN,N
Spokane_WA,N
Springfield_IL,N
Springfield_MA,N
Springfield_MO,N
St. Louis_MO,N
St. Paul_MN,N
St. Petersburg_FL,N
Stamford_CT,N
Sterling Heights_MI,N
Stockton_CA,N
Sunnyvale_CA,N
Surprise_AZ,N
Syracuse_NY,N
Tacoma_WA,N
Tallahassee_FL,N
Tampa_FL,N
Temecula_CA,N
Tempe_AZ,N
Thornton_CO,N
Thousand Oaks_CA,N
Toledo_OH,N
Topeka_KS,N
Torrance_CA,N
Tucson_AZ,N
Tulsa_OK,N
Tyler_TX,N
Vallejo_CA,N
Vancouver_WA,N
Ventura_CA,N
Victorville_CA,N
Virginia Beach_VA,N
Visalia_CA,N
Vista_CA,N
Waco_TX,N
Warren_MI,N
Washington_DC,N
Waterbury_CT,N
West Covina_CA,N
West Jordan_UT,N
West Palm Beach_FL,N
West Valley City_UT,N
Westminster_CO,N
Wichita Falls_TX,N
Wichita_KS,N
Wilmington_NC,N
Winston-Salem_NC,N
Worcester_MA,N
Yonkers_NY,N
